season,match_date,home_team,away_team,competition,venue,home_score,away_score
1998-1999,Saturday 14 November 1998,Arsenal,Spurs,Premier League,"Highbury, London",0,0
1998-1999,Saturday 14 November 1998,Charlton,Middlesbrough,Premier League,"The Valley, London",1,1
1998-1999,Saturday 14 November 1998,Chelsea,Wimbledon,Premier League,"Stamford Bridge, London",3,0
1998-1999,Saturday 14 November 1998,Liverpool,Leeds,Premier League,"Anfield, Liverpool",1,3
1998-1999,Saturday 14 November 1998,Man Utd,Blackburn,Premier League,"Old Trafford, Manchester",3,2
1998-1999,Saturday 14 November 1998,Newcastle,Sheffield Wed,Premier League,"St. James' Park, Newcastle",1,1
1998-1999,Saturday 14 November 1998,Southampton,Aston Villa,Premier League,"The Dell, Southampton",1,4
1998-1999,Saturday 14 November 1998,West Ham,Leicester,Premier League,"Boleyn Ground, London",3,2
1998-1999,Sunday 8 November 1998,Arsenal,Everton,Premier League,"Highbury, London",1,0
1998-1999,Sunday 8 November 1998,Man Utd,Newcastle,Premier League,"Old Trafford, Manchester",0,0
1998-1999,Sunday 8 November 1998,West Ham,Chelsea,Premier League,"Boleyn Ground, London",1,1
1998-1999,Sunday 8 November 1998,Leeds,Sheffield Wed,Premier League,"Elland Road, Leeds",2,1
1998-1999,Saturday 7 November 1998,Aston Villa,Spurs,Premier League,"Villa Park, Birmingham",3,2
1998-1999,Saturday 7 November 1998,Blackburn,Coventry,Premier League,"Ewood Park, Blackburn",1,2
1998-1999,Saturday 7 November 1998,Charlton,Leicester,Premier League,"The Valley, London",0,0
1998-1999,Saturday 7 November 1998,Liverpool,Derby,Premier League,"Anfield, Liverpool",1,2
1998-1999,Saturday 7 November 1998,Nott'm Forest,Wimbledon,Premier League,"City Ground, Nottingham",0,1
1998-1999,Saturday 7 November 1998,Southampton,Middlesbrough,Premier League,"The Dell, Southampton",3,3
1998-1999,Monday 2 November 1998,Spurs,Charlton,Premier League,"White Hart Lane, London",2,2
1998-1999,Sunday 1 November 1998,Middlesbrough,Nott'm Forest,Premier League,"Riverside Stadium, Middlesbrough",1,1
1998-1999,Saturday 31 October 1998,Coventry,Arsenal,Premier League,"Highfield Road, Coventry",0,1
1998-1999,Saturday 31 October 1998,Derby,Leeds,Premier League,"Pride Park, Derby",2,2
1998-1999,Saturday 31 October 1998,Everton,Man Utd,Premier League,"Goodison Park, Liverpool",1,4
1998-1999,Saturday 31 October 1998,Leicester,Liverpool,Premier League,"Filbert Street, Leicester",1,0
1998-1999,Saturday 31 October 1998,Newcastle,West Ham,Premier League,"St. James' Park, Newcastle",0,3
1998-1999,Saturday 31 October 1998,Sheffield Wed,Southampton,Premier League,"Hillsborough, Sheffield",0,0
1998-1999,Saturday 31 October 1998,Wimbledon,Blackburn,Premier League,"Selhurst Park, London",1,1
1998-1999,Sunday 25 October 1998,Leeds,Chelsea,Premier League,"Elland Road, Leeds",0,0
1998-1999,Sunday 25 October 1998,Blackburn,Arsenal,Premier League,"Ewood Park, Blackburn",1,2
1998-1999,Saturday 24 October 1998,Aston Villa,Leicester,Premier League,"Villa Park, Birmingham",1,1
1998-1999,Saturday 24 October 1998,Charlton,West Ham,Premier League,"The Valley, London",4,2
1998-1999,Saturday 24 October 1998,Derby,Man Utd,Premier League,"Pride Park, Derby",1,1
1998-1999,Saturday 24 October 1998,Liverpool,Nott'm Forest,Premier League,"Anfield, Liverpool",5,1
1998-1999,Saturday 24 October 1998,Sheffield Wed,Everton,Premier League,"Hillsborough, Sheffield",0,0
1998-1999,Saturday 24 October 1998,Southampton,Coventry,Premier League,"The Dell, Southampton",2,1
1998-1999,Saturday 24 October 1998,Spurs,Newcastle,Premier League,"White Hart Lane, London",2,0
1998-1999,Saturday 24 October 1998,Wimbledon,Middlesbrough,Premier League,"Selhurst Park, London",2,2
1998-1999,Monday 19 October 1998,Leicester,Spurs,Premier League,"Filbert Street, Leicester",2,1
1998-1999,Sunday 18 October 1998,Coventry,Sheffield Wed,Premier League,"Highfield Road, Coventry",1,0
1998-1999,Saturday 17 October 1998,Arsenal,Southampton,Premier League,"Highbury, London",1,1
1998-1999,Saturday 17 October 1998,Chelsea,Charlton,Premier League,"Stamford Bridge, London",2,1
1998-1999,Saturday 17 October 1998,Everton,Liverpool,Premier League,"Goodison Park, Liverpool",0,0
1998-1999,Saturday 17 October 1998,Man Utd,Wimbledon,Premier League,"Old Trafford, Manchester",5,1
1998-1999,Saturday 17 October 1998,Middlesbrough,Blackburn,Premier League,"Riverside Stadium, Middlesbrough",2,1
1998-1999,Saturday 17 October 1998,Newcastle,Derby,Premier League,"St. James' Park, Newcastle",2,1
1998-1999,Saturday 17 October 1998,Nott'm Forest,Leeds,Premier League,"City Ground, Nottingham",1,1
1998-1999,Saturday 17 October 1998,West Ham,Aston Villa,Premier League,"Boleyn Ground, London",0,0
1998-1999,Sunday 4 October 1998,Arsenal,Newcastle,Premier League,"Highbury, London",3,0
1998-1999,Sunday 4 October 1998,Liverpool,Chelsea,Premier League,"Anfield, Liverpool",1,1
1998-1999,Saturday 3 October 1998,Blackburn,West Ham,Premier League,"Ewood Park, Blackburn",3,0
1998-1999,Saturday 3 October 1998,Coventry,Aston Villa,Premier League,"Highfield Road, Coventry",1,2
1998-1999,Saturday 3 October 1998,Derby,Spurs,Premier League,"Pride Park, Derby",0,1
1998-1999,Saturday 3 October 1998,Leeds,Leicester,Premier League,"Elland Road, Leeds",0,1
1998-1999,Saturday 3 October 1998,Middlesbrough,Sheffield Wed,Premier League,"Riverside Stadium, Middlesbrough",4,0
1998-1999,Saturday 3 October 1998,Nott'm Forest,Charlton,Premier League,"City Ground, Nottingham",0,1
1998-1999,Saturday 3 October 1998,Southampton,Man Utd,Premier League,"The Dell, Southampton",0,3
1998-1999,Saturday 3 October 1998,Wimbledon,Everton,Premier League,"Selhurst Park, London",1,2
1998-1999,Monday 28 September 1998,West Ham,Southampton,Premier League,"Boleyn Ground, London",1,0
1998-1999,Sunday 27 September 1998,Leicester,Wimbledon,Premier League,"Filbert Street, Leicester",1,1
1998-1999,Saturday 26 September 1998,Aston Villa,Derby,Premier League,"Villa Park, Birmingham",1,0
1998-1999,Saturday 26 September 1998,Charlton,Coventry,Premier League,"The Valley, London",1,1
1998-1999,Saturday 26 September 1998,Chelsea,Middlesbrough,Premier League,"Stamford Bridge, London",2,0
1998-1999,Saturday 26 September 1998,Everton,Blackburn,Premier League,"Goodison Park, Liverpool",0,0
1998-1999,Saturday 26 September 1998,Newcastle,Nott'm Forest,Premier League,"St. James' Park, Newcastle",2,0
1998-1999,Saturday 26 September 1998,Sheffield Wed,Arsenal,Premier League,"Hillsborough, Sheffield",1,0
1998-1999,Saturday 26 September 1998,Spurs,Leeds,Premier League,"White Hart Lane, London",3,3
1998-1999,Thursday 24 September 1998,Man Utd,Liverpool,Premier League,"Old Trafford, Manchester",2,0
1998-1999,Monday 21 September 1998,Blackburn,Chelsea,Premier League,"Ewood Park, Blackburn",3,4
1998-1999,Sunday 20 September 1998,Arsenal,Man Utd,Premier League,"Highbury, London",3,0
1998-1999,Saturday 19 September 1998,Coventry,Newcastle,Premier League,"Highfield Road, Coventry",1,5
1998-1999,Saturday 19 September 1998,Derby,Leicester,Premier League,"Pride Park, Derby",2,0
1998-1999,Saturday 19 September 1998,Leeds,Aston Villa,Premier League,"Elland Road, Leeds",0,0
1998-1999,Saturday 19 September 1998,Liverpool,Charlton,Premier League,"Anfield, Liverpool",3,3
1998-1999,Saturday 19 September 1998,Middlesbrough,Everton,Premier League,"Riverside Stadium, Middlesbrough",2,2
1998-1999,Saturday 19 September 1998,Nott'm Forest,West Ham,Premier League,"City Ground, Nottingham",0,0
1998-1999,Saturday 19 September 1998,Southampton,Spurs,Premier League,"The Dell, Southampton",1,1
1998-1999,Saturday 19 September 1998,Wimbledon,Sheffield Wed,Premier League,"Selhurst Park, London",2,1
1998-1999,Sunday 13 September 1998,Spurs,Middlesbrough,Premier League,"White Hart Lane, London",0,3
1998-1999,Saturday 12 September 1998,Aston Villa,Wimbledon,Premier League,"Villa Park, Birmingham",2,0
1998-1999,Saturday 12 September 1998,Charlton,Derby,Premier League,"The Valley, London",1,2
1998-1999,Saturday 12 September 1998,Chelsea,Nott'm Forest,Premier League,"Stamford Bridge, London",2,1
1998-1999,Saturday 12 September 1998,Everton,Leeds,Premier League,"Goodison Park, Liverpool",0,0
1998-1999,Saturday 12 September 1998,Leicester,Arsenal,Premier League,"Filbert Street, Leicester",1,1
1998-1999,Saturday 12 September 1998,Man Utd,Coventry,Premier League,"Old Trafford, Manchester",2,0
1998-1999,Saturday 12 September 1998,Newcastle,Southampton,Premier League,"St. James' Park, Newcastle",4,0
1998-1999,Saturday 12 September 1998,Sheffield Wed,Blackburn,Premier League,"Hillsborough, Sheffield",3,0
1998-1999,Saturday 12 September 1998,West Ham,Liverpool,Premier League,"Boleyn Ground, London",2,1
1998-1999,Wednesday 9 September 1998,Aston Villa,Newcastle,Premier League,"Villa Park, Birmingham",1,0
1998-1999,Wednesday 9 September 1998,Derby,Sheffield Wed,Premier League,"Pride Park, Derby",1,0
1998-1999,Wednesday 9 September 1998,Leicester,Middlesbrough,Premier League,"Filbert Street, Leicester",0,1
1998-1999,Wednesday 9 September 1998,Liverpool,Coventry,Premier League,"Anfield, Liverpool",2,0
1998-1999,Wednesday 9 September 1998,Spurs,Blackburn,Premier League,"White Hart Lane, London",2,1
1998-1999,Wednesday 9 September 1998,West Ham,Wimbledon,Premier League,"Boleyn Ground, London",3,4
1998-1999,Wednesday 9 September 1998,Chelsea,Arsenal,Premier League,"Stamford Bridge, London",0,0
1998-1999,Wednesday 9 September 1998,Man Utd,Charlton,Premier League,"Old Trafford, Manchester",4,1
1998-1999,Tuesday 8 September 1998,Leeds,Southampton,Premier League,"Elland Road, Leeds",3,0
1998-1999,Tuesday 8 September 1998,Nott'm Forest,Everton,Premier League,"City Ground, Nottingham",0,2
1998-1999,Sunday 30 August 1998,Newcastle,Liverpool,Premier League,"St. James' Park, Newcastle",1,4
1998-1999,Saturday 29 August 1998,Arsenal,Charlton,Premier League,"Highbury, London",0,0
1998-1999,Saturday 29 August 1998,Blackburn,Leicester,Premier League,"Ewood Park, Blackburn",1,0
1998-1999,Saturday 29 August 1998,Coventry,West Ham,Premier League,"Highfield Road, Coventry",0,0
1998-1999,Saturday 29 August 1998,Everton,Spurs,Premier League,"Goodison Park, Liverpool",0,1
1998-1999,Saturday 29 August 1998,Middlesbrough,Derby,Premier League,"Riverside Stadium, Middlesbrough",1,1
1998-1999,Saturday 29 August 1998,Sheffield Wed,Aston Villa,Premier League,"Hillsborough, Sheffield",0,1
1998-1999,Saturday 29 August 1998,Southampton,Nott'm Forest,Premier League,"The Dell, Southampton",1,2
1998-1999,Saturday 29 August 1998,Wimbledon,Leeds,Premier League,"Selhurst Park, London",1,1
1998-1999,Monday 24 August 1998,Leeds,Blackburn,Premier League,"Elland Road, Leeds",1,0
1998-1999,Sunday 23 August 1998,Aston Villa,Middlesbrough,Premier League,"Villa Park, Birmingham",3,1
1998-1999,Saturday 22 August 1998,Charlton,Southampton,Premier League,"The Valley, London",5,0
1998-1999,Saturday 22 August 1998,Chelsea,Newcastle,Premier League,"Stamford Bridge, London",1,1
1998-1999,Saturday 22 August 1998,Derby,Wimbledon,Premier League,"Pride Park, Derby",0,0
1998-1999,Saturday 22 August 1998,Leicester,Everton,Premier League,"Filbert Street, Leicester",2,0
1998-1999,Saturday 22 August 1998,Liverpool,Arsenal,Premier League,"Anfield, Liverpool",0,0
1998-1999,Saturday 22 August 1998,Nott'm Forest,Coventry,Premier League,"City Ground, Nottingham",1,0
1998-1999,Saturday 22 August 1998,Spurs,Sheffield Wed,Premier League,"White Hart Lane, London",0,3
1998-1999,Saturday 22 August 1998,West Ham,Man Utd,Premier League,"Boleyn Ground, London",0,0
1998-1999,Monday 17 August 1998,Arsenal,Nott'm Forest,Premier League,"Highbury, London",2,1
1998-1999,Sunday 16 August 1998,Southampton,Liverpool,Premier League,"The Dell, Southampton",1,2
1998-1999,Saturday 15 August 1998,Blackburn,Derby,Premier League,"Ewood Park, Blackburn",0,0
1998-1999,Saturday 15 August 1998,Coventry,Chelsea,Premier League,"Highfield Road, Coventry",2,1
1998-1999,Saturday 15 August 1998,Everton,Aston Villa,Premier League,"Goodison Park, Liverpool",0,0
1998-1999,Saturday 15 August 1998,Man Utd,Leicester,Premier League,"Old Trafford, Manchester",2,2
1998-1999,Saturday 15 August 1998,Middlesbrough,Leeds,Premier League,"Riverside Stadium, Middlesbrough",0,0
1998-1999,Saturday 15 August 1998,Newcastle,Charlton,Premier League,"St. James' Park, Newcastle",0,0
1998-1999,Saturday 15 August 1998,Sheffield Wed,West Ham,Premier League,"Hillsborough, Sheffield",0,1
1998-1999,Saturday 15 August 1998,Wimbledon,Spurs,Premier League,"Selhurst Park, London",3,1
1999-2000,Sunday 14 May 2000,Aston Villa,Man Utd,Premier League,"Villa Park, Birmingham",0,1
1999-2000,Sunday 14 May 2000,Bradford,Liverpool,Premier League,"Valley Parade, Bradford",1,0
1999-2000,Sunday 14 May 2000,Chelsea,Derby,Premier League,"Stamford Bridge, London",4,0
1999-2000,Sunday 14 May 2000,Everton,Middlesbrough,Premier League,"Goodison Park, Liverpool",0,2
1999-2000,Sunday 14 May 2000,Newcastle,Arsenal,Premier League,"St. James' Park, Newcastle",4,2
1999-2000,Sunday 14 May 2000,Sheffield Wed,Leicester,Premier League,"Hillsborough, Sheffield",4,0
1999-2000,Sunday 14 May 2000,Southampton,Wimbledon,Premier League,"The Dell, Southampton",2,0
1999-2000,Sunday 14 May 2000,Spurs,Sunderland,Premier League,"White Hart Lane, London",3,1
1999-2000,Sunday 14 May 2000,Watford,Coventry,Premier League,"Vicarage Road, Watford",1,0
1999-2000,Sunday 14 May 2000,West Ham,Leeds,Premier League,"Boleyn Ground, London",0,0
1999-2000,Tuesday 9 May 2000,Arsenal,Sheffield Wed,Premier League,"Highbury, London",3,3
1999-2000,Monday 8 May 2000,Leeds,Everton,Premier League,"Elland Road, Leeds",1,1
1999-2000,Sunday 7 May 2000,Liverpool,Southampton,Premier League,"Anfield, Liverpool",0,0
1999-2000,Saturday 6 May 2000,Arsenal,Chelsea,Premier League,"Highbury, London",2,1
1999-2000,Saturday 6 May 2000,Coventry,Sheffield Wed,Premier League,"Highfield Road, Coventry",4,1
1999-2000,Saturday 6 May 2000,Derby,Newcastle,Premier League,"Pride Park, Derby",0,0
1999-2000,Saturday 6 May 2000,Leicester,Bradford,Premier League,"Filbert Street, Leicester",3,0
1999-2000,Saturday 6 May 2000,Middlesbrough,Watford,Premier League,"Riverside Stadium, Middlesbrough",1,1
1999-2000,Saturday 6 May 2000,Sunderland,West Ham,Premier League,"Stadium of Light, Sunderland",1,0
1999-2000,Saturday 6 May 2000,Wimbledon,Aston Villa,Premier League,"Selhurst Park, London",2,2
1999-2000,Saturday 6 May 2000,Man Utd,Spurs,Premier League,"Old Trafford, Manchester",3,1
1999-2000,Wednesday 3 May 2000,Leeds,Watford,Premier League,"Elland Road, Leeds",3,1
1999-2000,Wednesday 3 May 2000,Liverpool,Leicester,Premier League,"Anfield, Liverpool",0,2
1999-2000,Tuesday 2 May 2000,Arsenal,West Ham,Premier League,"Highbury, London",2,1
1999-2000,Tuesday 2 May 2000,Middlesbrough,Newcastle,Premier League,"Riverside Stadium, Middlesbrough",2,2
1999-2000,Sunday 30 April 2000,Bradford,Wimbledon,Premier League,"Valley Parade, Bradford",3,0
1999-2000,Sunday 30 April 2000,Sheffield Wed,Leeds,Premier League,"Hillsborough, Sheffield",0,3
1999-2000,Saturday 29 April 2000,Watford,Man Utd,Premier League,"Vicarage Road, Watford",2,3
1999-2000,Saturday 29 April 2000,Aston Villa,Sunderland,Premier League,"Villa Park, Birmingham",1,1
1999-2000,Saturday 29 April 2000,Chelsea,Liverpool,Premier League,"Stamford Bridge, London",2,0
1999-2000,Saturday 29 April 2000,Everton,Arsenal,Premier League,"Goodison Park, Liverpool",0,1
1999-2000,Saturday 29 April 2000,Newcastle,Coventry,Premier League,"St. James' Park, Newcastle",2,0
1999-2000,Saturday 29 April 2000,Southampton,Leicester,Premier League,"The Dell, Southampton",1,2
1999-2000,Saturday 29 April 2000,Spurs,Derby,Premier League,"White Hart Lane, London",1,1
1999-2000,Saturday 29 April 2000,West Ham,Middlesbrough,Premier League,"Boleyn Ground, London",0,1
1999-2000,Monday 24 April 2000,Man Utd,Chelsea,Premier League,"Old Trafford, Manchester",3,2
1999-2000,Monday 24 April 2000,Derby,Southampton,Premier League,"Pride Park, Derby",2,0
1999-2000,Monday 24 April 2000,Sunderland,Bradford,Premier League,"Stadium of Light, Sunderland",0,1
1999-2000,Sunday 23 April 2000,Newcastle,Leeds,Premier League,"St. James' Park, Newcastle",2,2
1999-2000,Sunday 23 April 2000,Watford,Arsenal,Premier League,"Vicarage Road, Watford",2,3
1999-2000,Saturday 22 April 2000,Aston Villa,Leicester,Premier League,"Villa Park, Birmingham",2,2
1999-2000,Saturday 22 April 2000,Chelsea,Middlesbrough,Premier League,"Stamford Bridge, London",1,1
1999-2000,Saturday 22 April 2000,Sheffield Wed,Sunderland,Premier League,"Hillsborough, Sheffield",0,2
1999-2000,Saturday 22 April 2000,Southampton,Man Utd,Premier League,"The Dell, Southampton",1,3
1999-2000,Saturday 22 April 2000,Spurs,Wimbledon,Premier League,"White Hart Lane, London",2,0
1999-2000,Saturday 22 April 2000,West Ham,Coventry,Premier League,"Boleyn Ground, London",5,0
1999-2000,Friday 21 April 2000,Bradford,Derby,Premier League,"Valley Parade, Bradford",4,4
1999-2000,Friday 21 April 2000,Everton,Liverpool,Premier League,"Goodison Park, Liverpool",0,0
1999-2000,Wednesday 19 April 2000,Leicester,Spurs,Premier League,"Filbert Street, Leicester",0,1
1999-2000,Sunday 16 April 2000,Wimbledon,Liverpool,Premier League,"Selhurst Park, London",1,2
1999-2000,Sunday 16 April 2000,Leeds,Arsenal,Premier League,"Elland Road, Leeds",0,4
1999-2000,Saturday 15 April 2000,Coventry,Middlesbrough,Premier League,"Highfield Road, Coventry",2,1
1999-2000,Saturday 15 April 2000,Derby,West Ham,Premier League,"Pride Park, Derby",1,2
1999-2000,Saturday 15 April 2000,Everton,Bradford,Premier League,"Goodison Park, Liverpool",4,0
1999-2000,Saturday 15 April 2000,Man Utd,Sunderland,Premier League,"Old Trafford, Manchester",4,0
1999-2000,Saturday 15 April 2000,Newcastle,Leicester,Premier League,"St. James' Park, Newcastle",0,2
1999-2000,Saturday 15 April 2000,Sheffield Wed,Chelsea,Premier League,"Hillsborough, Sheffield",1,0
1999-2000,Saturday 15 April 2000,Southampton,Watford,Premier League,"The Dell, Southampton",2,0
1999-2000,Saturday 15 April 2000,Spurs,Aston Villa,Premier League,"White Hart Lane, London",2,4
1999-2000,Wednesday 12 April 2000,Chelsea,Coventry,Premier League,"Stamford Bridge, London",2,1
1999-2000,Wednesday 12 April 2000,West Ham,Newcastle,Premier League,"Boleyn Ground, London",2,1
1999-2000,Wednesday 12 April 2000,Wimbledon,Sheffield Wed,Premier League,"Selhurst Park, London",0,2
1999-2000,Monday 10 April 2000,Middlesbrough,Man Utd,Premier League,"Riverside Stadium, Middlesbrough",3,4
1999-2000,Sunday 9 April 2000,Aston Villa,Leeds,Premier League,"Villa Park, Birmingham",1,0
1999-2000,Sunday 9 April 2000,Liverpool,Spurs,Premier League,"Anfield, Liverpool",2,0
1999-2000,Saturday 8 April 2000,Bradford,Southampton,Premier League,"Valley Parade, Bradford",1,2
1999-2000,Saturday 8 April 2000,Leicester,Everton,Premier League,"Filbert Street, Leicester",1,1
1999-2000,Saturday 8 April 2000,Sunderland,Wimbledon,Premier League,"Stadium of Light, Sunderland",2,1
1999-2000,Saturday 8 April 2000,Watford,Derby,Premier League,"Vicarage Road, Watford",0,0
1999-2000,Wednesday 5 April 2000,Sheffield Wed,Aston Villa,Premier League,"Hillsborough, Sheffield",0,1
1999-2000,Monday 3 April 2000,Spurs,Middlesbrough,Premier League,"White Hart Lane, London",2,3
1999-2000,Sunday 2 April 2000,Derby,Leicester,Premier League,"Pride Park, Derby",3,0
1999-2000,Saturday 1 April 2000,Coventry,Liverpool,Premier League,"Highfield Road, Coventry",0,3
1999-2000,Saturday 1 April 2000,Everton,Watford,Premier League,"Goodison Park, Liverpool",4,2
1999-2000,Saturday 1 April 2000,Leeds,Chelsea,Premier League,"Elland Road, Leeds",0,1
1999-2000,Saturday 1 April 2000,Man Utd,West Ham,Premier League,"Old Trafford, Manchester",7,1
1999-2000,Saturday 1 April 2000,Newcastle,Bradford,Premier League,"St. James' Park, Newcastle",2,0
1999-2000,Saturday 1 April 2000,Southampton,Sunderland,Premier League,"The Dell, Southampton",1,2
1999-2000,Saturday 1 April 2000,Wimbledon,Arsenal,Premier League,"Selhurst Park, London",1,3
1999-2000,Sunday 26 March 2000,Arsenal,Coventry,Premier League,"Highbury, London",3,0
1999-2000,Sunday 26 March 2000,Leicester,Leeds,Premier League,"Filbert Street, Leicester",2,1
1999-2000,Sunday 26 March 2000,West Ham,Wimbledon,Premier League,"Boleyn Ground, London",2,1
1999-2000,Saturday 25 March 2000,Aston Villa,Derby,Premier League,"Villa Park, Birmingham",2,0
1999-2000,Saturday 25 March 2000,Bradford,Man Utd,Premier League,"Valley Parade, Bradford",0,4
1999-2000,Saturday 25 March 2000,Chelsea,Southampton,Premier League,"Stamford Bridge, London",1,1
1999-2000,Saturday 25 March 2000,Liverpool,Newcastle,Premier League,"Anfield, Liverpool",2,1
1999-2000,Saturday 25 March 2000,Middlesbrough,Sheffield Wed,Premier League,"Riverside Stadium, Middlesbrough",1,0
1999-2000,Saturday 25 March 2000,Sunderland,Everton,Premier League,"Stadium of Light, Sunderland",2,1
1999-2000,Saturday 25 March 2000,Watford,Spurs,Premier League,"Vicarage Road, Watford",1,1
1999-2000,Sunday 19 March 2000,Arsenal,Spurs,Premier League,"Highbury, London",2,1
1999-2000,Sunday 19 March 2000,Leeds,Wimbledon,Premier League,"Elland Road, Leeds",4,1
1999-2000,Sunday 19 March 2000,Everton,Newcastle,Premier League,"Goodison Park, Liverpool",0,2
1999-2000,Saturday 18 March 2000,Coventry,Bradford,Premier League,"Highfield Road, Coventry",4,0
1999-2000,Saturday 18 March 2000,Derby,Liverpool,Premier League,"Pride Park, Derby",0,2
1999-2000,Saturday 18 March 2000,Leicester,Man Utd,Premier League,"Filbert Street, Leicester",0,2
1999-2000,Saturday 18 March 2000,Southampton,Aston Villa,Premier League,"The Dell, Southampton",2,0
1999-2000,Saturday 18 March 2000,Sunderland,Middlesbrough,Premier League,"Stadium of Light, Sunderland",1,1
1999-2000,Saturday 18 March 2000,Watford,Sheffield Wed,Premier League,"Vicarage Road, Watford",1,0
1999-2000,Saturday 18 March 2000,West Ham,Chelsea,Premier League,"Boleyn Ground, London",0,0
1999-2000,Wednesday 15 March 2000,Coventry,Everton,Premier League,"Highfield Road, Coventry",1,0
1999-2000,Wednesday 15 March 2000,Liverpool,Aston Villa,Premier League,"Anfield, Liverpool",0,0
1999-2000,Sunday 12 March 2000,Middlesbrough,Arsenal,Premier League,"Riverside Stadium, Middlesbrough",2,1
1999-2000,Sunday 12 March 2000,Bradford,Leeds,Premier League,"Valley Parade, Bradford",1,2
1999-2000,Saturday 11 March 2000,Aston Villa,Coventry,Premier League,"Villa Park, Birmingham",1,0
1999-2000,Saturday 11 March 2000,Chelsea,Everton,Premier League,"Stamford Bridge, London",1,1
1999-2000,Saturday 11 March 2000,Liverpool,Sunderland,Premier League,"Anfield, Liverpool",1,1
1999-2000,Saturday 11 March 2000,Man Utd,Derby,Premier League,"Old Trafford, Manchester",3,1
1999-2000,Saturday 11 March 2000,Newcastle,Watford,Premier League,"St. James' Park, Newcastle",1,0
1999-2000,Saturday 11 March 2000,Sheffield Wed,West Ham,Premier League,"Hillsborough, Sheffield",3,1
1999-2000,Saturday 11 March 2000,Spurs,Southampton,Premier League,"White Hart Lane, London",7,2
1999-2000,Saturday 11 March 2000,Wimbledon,Leicester,Premier League,"Selhurst Park, London",2,1
1999-2000,Wednesday 8 March 2000,West Ham,Southampton,Premier League,"Boleyn Ground, London",2,0
1999-2000,Sunday 5 March 2000,Aston Villa,Arsenal,Premier League,"Villa Park, Birmingham",1,1
1999-2000,Sunday 5 March 2000,Leeds,Coventry,Premier League,"Elland Road, Leeds",3,0
1999-2000,Sunday 5 March 2000,Leicester,Sunderland,Premier League,"Filbert Street, Leicester",5,2
1999-2000,Saturday 4 March 2000,Derby,Wimbledon,Premier League,"Pride Park, Derby",4,0
1999-2000,Saturday 4 March 2000,Everton,Sheffield Wed,Premier League,"Goodison Park, Liverpool",1,1
1999-2000,Saturday 4 March 2000,Newcastle,Chelsea,Premier League,"St. James' Park, Newcastle",0,1
1999-2000,Saturday 4 March 2000,Southampton,Middlesbrough,Premier League,"The Dell, Southampton",1,1
1999-2000,Saturday 4 March 2000,Spurs,Bradford,Premier League,"White Hart Lane, London",1,1
1999-2000,Saturday 4 March 2000,Man Utd,Liverpool,Premier League,"Old Trafford, Manchester",1,1
1999-2000,Saturday 4 March 2000,Watford,West Ham,Premier League,"Vicarage Road, Watford",1,2
1999-2000,Saturday 26 February 2000,Arsenal,Southampton,Premier League,"Highbury, London",3,1
1999-2000,Saturday 26 February 2000,Bradford,Aston Villa,Premier League,"Valley Parade, Bradford",1,1
1999-2000,Saturday 26 February 2000,Chelsea,Watford,Premier League,"Stamford Bridge, London",2,1
1999-2000,Saturday 26 February 2000,Coventry,Spurs,Premier League,"Highfield Road, Coventry",0,1
1999-2000,Saturday 26 February 2000,Middlesbrough,Leeds,Premier League,"Riverside Stadium, Middlesbrough",0,0
1999-2000,Saturday 26 February 2000,Sheffield Wed,Newcastle,Premier League,"Hillsborough, Sheffield",0,2
1999-2000,Saturday 26 February 2000,Sunderland,Derby,Premier League,"Stadium of Light, Sunderland",1,1
1999-2000,Saturday 26 February 2000,West Ham,Everton,Premier League,"Boleyn Ground, London",0,4
1999-2000,Saturday 26 February 2000,Wimbledon,Man Utd,Premier League,"Selhurst Park, London",2,2
1999-2000,Sunday 20 February 2000,Leeds,Man Utd,Premier League,"Elland Road, Leeds",0,1
1999-2000,Saturday 19 February 2000,Middlesbrough,Coventry,Premier League,"Riverside Stadium, Middlesbrough",2,0
1999-2000,Monday 14 February 2000,Middlesbrough,Aston Villa,Premier League,"Riverside Stadium, Middlesbrough",0,4
1999-2000,Sunday 13 February 2000,Arsenal,Liverpool,Premier League,"Highbury, London",0,1
1999-2000,Saturday 12 February 2000,Chelsea,Wimbledon,Premier League,"Stamford Bridge, London",3,1
1999-2000,Saturday 12 February 2000,Coventry,Sunderland,Premier League,"Highfield Road, Coventry",3,2
1999-2000,Saturday 12 February 2000,Everton,Derby,Premier League,"Goodison Park, Liverpool",2,1
1999-2000,Saturday 12 February 2000,Leeds,Spurs,Premier League,"Elland Road, Leeds",1,0
1999-2000,Saturday 12 February 2000,Newcastle,Man Utd,Premier League,"St. James' Park, Newcastle",3,0
1999-2000,Saturday 12 February 2000,Sheffield Wed,Southampton,Premier League,"Hillsborough, Sheffield",0,1
1999-2000,Saturday 12 February 2000,Watford,Leicester,Premier League,"Vicarage Road, Watford",1,1
1999-2000,Saturday 12 February 2000,West Ham,Bradford,Premier League,"Boleyn Ground, London",5,4
1999-2000,Sunday 6 February 2000,Wimbledon,Everton,Premier League,"Selhurst Park, London",0,3
1999-2000,Saturday 5 February 2000,Aston Villa,Watford,Premier League,"Villa Park, Birmingham",4,0
1999-2000,Saturday 5 February 2000,Bradford,Arsenal,Premier League,"Valley Parade, Bradford",2,1
1999-2000,Saturday 5 February 2000,Derby,Sheffield Wed,Premier League,"Pride Park, Derby",3,3
