season,position,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form,home_form,away_form
1998-1999,2,Arsenal,38,22,12,4,59,17,42,78,19,19,34,5,25,12,14,5,0,8,7,4,"W,L,W,W,W,W,W,D,W,W,W,D,W,D,W,W,W,D,W,W,W,L,D,D,L,D,W,W,W,D,W,L,W,D,D,D,D,W","W,W,W,W,W,W,W,W,D,W,W,D,D,W,D,W,W,D,W","L,W,W,D,W,D,D,W,W,W,L,D,L,W,W,L,D,D,D"
1998-1999,3,Chelsea,38,20,15,3,57,30,27,75,19,19,29,13,28,17,12,6,1,8,9,2,"W,D,W,W,D,D,D,W,W,W,L,W,W,D,W,L,W,W,D,W,W,D,D,W,D,D,W,W,D,D,W,D,W,W,W,D,D,L","W,W,W,D,L,W,D,W,W,D,W,W,D,W,W,W,W,D,D","D,D,D,W,W,W,W,L,W,W,D,D,D,W,D,D,D,W,L"
1998-1999,4,Leeds,38,18,13,7,62,34,28,67,19,19,32,9,30,25,12,5,2,6,8,5,"D,W,L,W,D,D,D,W,W,W,W,W,W,W,L,L,W,L,D,W,L,W,W,L,W,W,W,D,D,D,L,D,D,D,W,D,W,D","W,D,D,W,W,W,W,L,W,D,W,W,W,W,D,L,D,W,W","D,L,W,D,W,W,W,L,L,W,L,L,W,D,D,D,D,D,D"
1998-1999,5,West Ham,38,16,9,13,46,53,-7,57,19,19,32,26,14,27,11,3,5,5,6,8,"W,L,L,W,W,D,L,D,W,W,L,W,D,W,L,D,L,L,W,L,W,L,L,W,W,W,D,W,L,D,L,W,D,W,L,D,D,W","W,L,W,L,W,W,W,L,L,W,W,W,W,D,D,W,W,L,D","L,W,D,D,W,L,D,D,L,L,L,L,W,W,L,L,D,D,W"
1998-1999,6,Aston Villa,38,15,10,13,51,46,5,55,19,19,33,28,18,18,10,3,6,5,7,7,"L,L,L,W,W,W,D,D,L,L,L,L,D,L,L,L,W,D,W,L,W,W,L,D,D,L,W,W,D,D,W,W,D,W,W,W,W,D","L,W,W,D,L,L,L,L,W,W,W,D,L,W,D,W,W,W,W","L,L,W,D,L,L,D,L,D,L,W,L,D,W,D,W,D,W,D"
1998-1999,7,Liverpool,38,15,9,14,68,49,19,54,19,19,44,24,24,25,10,5,4,5,4,10,"W,L,D,W,W,L,L,D,D,W,L,L,D,L,W,L,W,D,W,W,W,L,L,W,W,L,L,L,W,D,D,L,D,L,W,W,D,W","W,D,W,L,L,W,D,W,W,W,W,W,L,L,W,D,D,W,D","L,W,D,D,L,L,L,L,D,W,L,L,W,L,D,L,L,W,W"
1998-1999,8,Derby,38,13,13,12,40,45,-5,52,19,19,22,19,18,26,8,7,4,5,6,8,"L,D,W,L,D,L,W,L,L,W,W,D,L,W,L,W,W,L,W,D,D,D,D,W,L,D,W,D,D,L,L,L,W,W,W,D,D,D","D,D,W,L,W,W,L,W,W,W,D,D,L,D,D,L,W,W,D","L,W,L,L,L,D,L,W,L,D,D,W,D,W,L,L,W,D,D"
1998-1999,9,Middlesbrough,38,12,15,11,48,54,-6,51,19,19,25,18,23,36,7,9,3,5,6,8,"L,L,D,L,W,D,W,W,D,W,W,L,D,L,L,D,L,D,L,L,W,W,D,D,W,D,D,D,D,W,W,L,D,W,W,D,L,D","L,L,D,W,W,W,D,D,D,L,W,D,W,D,W,W,D,D,D","L,D,W,D,W,L,L,L,L,L,W,D,D,D,D,L,W,W,L"
1998-1999,10,Leicester,38,12,13,13,40,46,-6,49,19,19,25,25,15,21,7,6,6,5,7,7,"L,W,L,L,W,W,D,D,D,W,D,W,L,L,L,D,L,D,D,W,L,W,W,D,L,L,D,W,D,W,W,D,L,D,L,L,W,D","W,L,W,D,D,D,L,L,L,D,W,W,L,W,W,D,D,L,W","L,L,W,D,W,W,L,D,D,W,L,D,L,D,D,W,L,L,D"
1998-1999,11,Spurs,38,11,14,13,47,50,-3,47,19,19,28,26,19,24,7,7,5,4,7,8,"L,D,L,L,L,W,W,D,L,W,L,W,D,D,D,D,D,D,W,D,L,D,W,L,W,D,L,D,W,L,W,D,D,L,W,W,L,L","D,L,L,L,W,W,D,D,D,W,D,W,W,D,W,D,L,W,L","L,L,W,W,D,L,D,D,D,D,L,L,D,L,L,W,D,W,L"
1998-1999,12,Sheffield Wed,38,13,7,18,41,42,-1,46,19,19,20,15,21,27,7,5,7,6,2,11,"W,W,L,D,D,L,W,L,L,L,L,L,W,W,W,L,W,D,L,L,L,W,W,D,W,D,L,D,D,L,L,W,L,W,L,L,W,L","W,D,D,L,L,L,W,L,D,L,W,W,W,D,D,W,W,L,L","W,L,L,W,L,L,W,W,W,L,L,D,D,L,L,L,L,L,W"
1998-1999,13,Newcastle,38,11,13,14,48,54,-6,46,19,19,26,25,22,29,7,6,6,4,7,8,"D,L,D,D,D,L,D,W,L,L,W,D,L,W,W,W,D,L,L,L,W,D,D,W,L,D,D,L,L,W,L,W,W,W,L,L,D,D","D,D,L,D,L,D,W,W,L,L,W,W,D,L,W,W,W,L,D","L,D,D,W,L,W,L,W,D,L,D,D,L,D,L,L,W,L,D"
1998-1999,14,Everton,38,11,10,17,42,47,-5,43,19,19,22,12,20,35,6,8,5,5,2,12,"L,W,L,W,W,W,L,L,L,L,W,D,L,W,L,L,L,D,L,D,L,W,D,W,W,L,L,L,D,D,W,D,D,D,W,L,L,D","W,W,W,L,L,D,W,L,D,D,W,D,W,L,D,D,D,L,D","L,L,W,L,L,W,L,L,L,L,L,W,L,L,D,W,D,W,L"
1998-1999,15,Coventry,38,11,9,18,39,51,-12,42,19,19,26,21,13,30,8,6,5,3,3,13,"D,D,W,L,L,L,W,W,L,D,W,W,L,L,D,W,L,W,L,D,D,L,L,D,L,W,W,L,L,W,L,D,L,L,L,D,L,W","D,W,L,W,D,W,L,W,W,D,D,D,W,L,W,L,L,D,W","D,L,L,W,L,W,L,D,L,L,L,L,L,W,L,D,L,L,L"
1998-1999,16,Wimbledon,38,10,12,16,40,63,-23,42,19,19,22,21,18,42,7,7,5,3,5,11,"L,L,L,D,L,L,L,D,L,L,L,W,D,D,L,D,D,W,D,W,L,W,W,L,W,L,W,D,D,L,L,D,W,L,W,D,D,W","L,D,L,D,L,L,D,D,W,W,W,W,W,D,D,L,W,D,W","L,L,L,L,L,W,D,L,D,D,L,L,L,W,L,D,L,W,D"
1998-1999,17,Southampton,38,11,8,19,37,64,-27,41,19,19,29,26,8,38,9,4,6,2,4,13,"W,W,W,D,D,L,L,D,W,L,W,L,L,W,L,W,L,W,D,L,W,L,L,L,W,L,D,D,W,D,L,L,D,L,L,L,L,L","W,W,D,D,W,W,W,W,W,L,W,L,L,D,W,L,D,L,L","W,D,L,L,L,L,L,L,L,D,L,L,W,D,D,L,L,L,L"
1998-1999,18,Charlton,38,8,12,18,41,56,-15,36,19,19,20,20,21,36,4,7,8,4,5,10,"L,W,D,L,L,D,L,W,L,D,L,D,W,W,W,L,D,L,L,L,L,L,L,L,L,D,D,D,W,L,W,D,D,L,L,D,W,D","L,D,L,D,L,D,W,W,L,D,L,L,L,D,D,W,D,L,W","W,L,L,W,D,L,W,L,L,L,L,L,D,L,W,D,L,D,D"
1998-1999,19,Blackburn,38,7,14,17,38,52,-14,35,19,19,21,24,17,28,6,5,8,1,9,9,"D,D,L,D,L,D,L,D,W,D,L,L,L,D,W,D,L,W,D,W,D,D,W,L,L,L,L,D,L,L,W,D,L,L,L,W,L,D","D,L,L,D,W,L,L,D,W,W,D,W,L,L,L,W,L,W,D","D,D,D,L,D,L,D,W,L,D,D,L,L,D,L,D,L,L,L"
1998-1999,20,Nott'm Forest,38,7,9,22,35,69,-34,30,19,19,18,31,17,38,3,7,9,4,2,13,"W,W,W,L,L,L,D,L,L,W,L,D,L,L,L,W,L,L,D,L,D,L,L,D,L,D,L,D,L,D,L,L,D,L,L,W,W,L","W,W,L,D,L,L,L,L,L,D,D,D,D,L,D,L,D,L,W","W,L,L,L,W,D,L,W,L,L,L,L,L,D,L,L,L,W,L"
1999-2000,1,Man Utd,38,28,7,3,97,45,52,91,19,19,59,16,38,29,15,4,0,13,3,3,"W,W,W,W,W,W,W,W,W,W,W,D,D,W,L,W,W,W,D,D,W,W,W,W,W,W,L,W,L,D,D,W,W,W,W,W,W,D","W,W,W,W,W,D,W,W,D,W,W,W,W,W,D,D,W,W,W","W,W,W,W,W,W,D,W,L,W,D,W,W,L,L,W,W,W,D"
1999-2000,2,Arsenal,38,22,7,9,73,43,30,73,19,19,42,17,31,26,14,3,2,8,4,7,"L,D,W,W,W,W,W,W,W,W,L,D,W,L,L,D,W,D,W,L,D,W,W,W,L,D,W,W,L,W,W,W,L,W,L,D,W,W","D,W,W,W,W,W,L,W,W,D,W,W,D,W,W,W,W,L,W","L,W,W,W,W,L,D,L,D,D,L,W,L,W,L,W,L,D,W"
1999-2000,3,Leeds,38,21,6,11,58,43,15,69,19,19,29,18,29,25,12,2,5,9,4,6,"D,D,W,W,D,L,L,L,L,W,W,W,D,L,W,L,W,L,L,W,W,W,W,W,L,W,D,W,W,W,W,W,W,L,W,L,W,D","D,W,L,L,W,W,L,W,L,W,W,W,W,W,W,W,L,W,D","D,W,D,L,L,W,D,L,W,L,W,W,L,D,W,W,W,L,W"
1999-2000,4,Liverpool,38,19,10,9,51,30,21,67,19,19,28,13,23,17,11,4,4,8,6,5,"L,D,L,L,D,W,W,W,W,W,D,D,D,W,W,D,W,L,W,D,W,W,L,W,W,W,W,D,W,D,L,D,L,W,W,L,L,W","D,L,W,W,D,D,W,D,W,W,W,W,W,W,W,L,L,W,L","L,L,D,W,W,W,D,W,W,L,D,L,W,D,D,D,W,L,W"
1999-2000,5,Chelsea,38,18,11,9,53,34,19,65,19,19,35,12,18,22,12,5,2,6,6,7,"W,L,W,L,D,L,W,W,D,D,D,W,W,W,W,D,D,W,D,D,W,W,L,L,W,D,D,L,L,L,W,W,L,W,W,W,D,W","W,W,D,W,D,D,W,W,D,W,W,L,W,D,L,W,W,W,W","L,L,L,W,D,W,W,D,D,D,W,L,D,L,L,W,L,W,D"
1999-2000,6,Aston Villa,38,15,13,10,46,35,11,58,19,19,23,12,23,23,8,8,3,7,5,7,"L,D,D,D,W,W,W,W,L,D,W,D,D,W,W,D,D,W,D,W,W,L,D,L,L,L,D,L,D,L,W,L,W,W,L,D,W,W","L,D,D,W,W,W,D,W,D,D,W,L,L,D,D,W,W,D,W","D,W,W,L,D,D,W,D,W,W,D,L,L,L,L,L,W,L,W"
1999-2000,7,Sunderland,38,16,10,12,57,56,1,58,19,19,28,17,29,39,10,6,3,6,4,9,"L,W,D,L,W,L,W,W,W,D,D,L,D,L,D,L,L,L,D,L,W,W,W,L,D,W,D,W,W,W,W,W,D,W,L,D,W,L","W,L,W,W,D,D,D,L,D,W,W,L,W,W,W,W,D,D,W","L,D,W,L,W,D,L,L,L,L,L,W,D,D,W,W,W,L,L"
1999-2000,8,Leicester,38,16,7,15,55,55,0,55,19,19,31,24,24,31,10,3,6,6,4,9,"L,W,W,W,D,L,W,D,L,W,L,L,W,D,W,L,D,D,L,L,L,L,W,W,L,W,L,W,W,W,D,L,W,W,L,D,W,L","W,L,D,W,L,W,W,L,L,L,L,W,W,W,W,D,W,D,W","L,W,W,D,W,L,L,D,D,D,L,W,L,L,W,L,W,L,L"
1999-2000,9,West Ham,38,15,10,13,52,53,-1,55,19,19,32,23,20,30,11,5,3,4,5,10,"D,L,L,L,W,W,W,L,W,D,L,W,W,L,W,L,W,D,D,D,D,L,D,W,W,D,L,L,D,L,W,L,L,W,W,W,D,W","D,L,W,W,W,D,W,L,W,D,D,L,W,W,D,W,W,W,W","L,L,W,L,L,W,L,W,D,D,D,D,L,L,L,L,L,W,D"
1999-2000,10,Spurs,38,15,8,15,57,49,8,53,19,19,40,26,17,23,10,3,6,5,5,9,"W,L,D,W,W,L,L,L,D,L,W,D,W,L,L,L,D,L,W,D,W,L,D,L,W,W,L,W,W,L,D,W,D,L,W,W,W,L","W,D,W,L,L,W,D,L,L,W,W,D,W,W,L,W,L,W,W","L,W,L,D,L,W,L,D,L,D,L,L,W,L,W,D,D,W,L"
1999-2000,11,Newcastle,38,14,10,14,63,54,9,52,19,19,42,20,21,34,10,5,4,4,5,10,"W,D,D,W,D,L,L,W,L,W,W,L,W,W,D,L,W,D,W,D,L,W,W,D,D,D,W,L,W,L,W,L,L,L,D,L,L,L","W,W,D,L,W,W,L,W,W,D,D,W,D,W,W,W,L,D,L","D,D,L,L,W,W,D,L,W,L,W,D,D,L,L,L,L,L,L"
1999-2000,12,Middlesbrough,38,14,10,14,46,52,-6,52,19,19,23,26,23,26,8,5,6,6,5,8,"W,D,D,W,D,L,L,W,W,D,W,D,D,W,L,L,L,D,L,L,W,D,D,L,D,W,W,W,L,L,L,W,L,L,W,W,W,L","D,D,L,W,W,D,W,L,L,W,D,D,W,W,L,W,L,W,L","W,W,D,L,W,D,D,L,L,D,L,D,L,W,L,L,L,W,W"
1999-2000,13,Everton,38,12,14,12,59,49,10,50,19,19,36,21,23,28,7,9,3,5,5,9,"L,D,L,D,W,D,W,L,L,L,D,D,W,W,W,L,D,D,D,W,W,L,D,D,D,L,D,L,D,W,W,W,L,W,W,L,L,D","L,L,D,W,W,L,D,W,D,D,W,D,D,D,D,W,W,W,D","D,D,L,L,D,W,W,L,D,W,L,D,L,L,W,W,L,L,L"
1999-2000,14,Coventry,38,12,8,18,47,54,-7,44,19,19,38,22,9,32,12,1,6,0,7,12,"L,W,L,L,W,L,L,L,W,W,L,L,L,L,W,L,D,W,D,W,L,D,L,W,D,W,D,W,D,W,L,L,D,L,W,D,L,L","W,W,L,W,W,L,W,W,D,W,L,W,W,W,W,L,L,W,L","L,L,L,L,L,L,L,L,L,D,L,D,D,D,D,L,D,D,L"
1999-2000,15,Southampton,38,12,8,18,45,62,-17,44,19,19,26,22,19,40,8,4,7,4,4,11,"W,D,L,L,L,W,W,L,D,W,L,L,D,L,W,W,W,L,W,L,L,L,D,L,L,W,D,D,L,D,D,L,L,W,L,W,L,W","W,L,L,W,L,W,D,W,W,W,L,D,L,D,D,L,W,W,L","D,L,W,D,L,L,L,W,L,L,L,L,W,D,L,D,L,L,W"
1999-2000,16,Derby,38,9,11,18,44,57,-13,38,19,19,22,25,22,32,6,3,10,3,8,8,"L,D,D,W,D,L,D,W,L,L,L,W,D,L,D,D,W,W,D,L,W,L,L,L,L,W,L,L,D,L,L,D,W,W,L,L,L,D","D,W,L,W,L,W,D,D,W,L,L,L,W,L,L,L,W,L,L","L,D,D,D,L,L,D,L,W,D,W,L,L,L,D,D,W,L,D"
1999-2000,17,Bradford,38,9,9,20,38,68,-30,36,19,19,26,29,12,39,6,8,5,3,1,15,"W,L,W,W,D,L,L,L,L,L,L,D,D,L,W,W,L,D,L,D,L,W,D,L,L,D,L,W,L,L,W,L,D,L,L,L,D,W","W,W,D,L,L,L,D,W,W,D,D,W,D,D,W,L,D,L,D","L,W,L,L,L,D,L,L,L,L,L,L,L,L,W,L,L,L,W"
1999-2000,18,Wimbledon,38,7,12,19,46,74,-28,33,19,19,30,28,16,46,6,7,6,1,5,13,"L,D,L,L,L,L,L,L,L,L,W,L,D,L,L,W,L,W,L,D,D,W,D,L,W,D,D,W,L,D,D,D,L,L,D,D,L,W","D,L,L,L,W,D,L,W,W,D,W,W,D,W,D,D,L,D,L","L,L,L,L,L,L,L,L,L,L,D,D,L,D,L,D,L,D,W"
1999-2000,19,Sheffield Wed,38,8,7,23,38,70,-32,31,19,19,21,23,17,47,6,3,10,2,4,13,"W,D,L,L,L,W,W,L,L,L,W,D,L,L,D,L,W,W,D,L,W,L,L,L,D,L,D,L,W,L,L,L,L,L,L,D,L,L","W,L,L,W,L,W,L,L,L,W,D,W,D,D,W,L,L,L,L","D,L,W,L,L,D,D,W,L,L,L,L,L,L,L,L,L,D,L"
1999-2000,20,Watford,38,6,6,26,35,77,-42,24,19,19,24,31,11,46,5,4,10,1,2,16,"W,D,L,L,L,L,D,L,D,W,L,L,L,D,L,L,L,L,W,L,L,L,L,D,D,L,L,L,L,L,W,L,L,L,W,W,L,L","W,L,L,D,D,W,L,D,L,W,L,L,D,L,L,W,L,W,L","D,L,L,L,L,L,L,L,L,L,L,D,L,L,L,L,L,W,L"
2000-2001,1,Man Utd,38,24,8,6,79,31,48,80,19,19,49,12,30,19,15,2,2,9,6,4,"L,L,L,W,D,W,W,L,W,D,W,D,W,W,W,W,W,D,W,W,L,D,W,W,W,W,W,W,W,W,L,D,W,W,W,D,D,W","L,D,W,W,W,W,W,W,W,W,L,W,W,W,W,D,W,W,W","L,L,W,L,D,D,W,W,D,W,D,W,W,W,W,L,W,D,D"
2000-2001,2,Arsenal,38,20,10,8,63,38,25,70,19,19,45,13,18,25,15,3,1,5,7,7,"L,D,W,W,W,L,W,W,D,W,L,W,W,W,D,D,L,D,W,L,D,W,W,L,L,D,W,W,W,W,W,D,W,D,D,W,W,L","W,W,L,W,W,W,W,D,D,W,W,W,D,W,W,W,W,W,W","L,D,W,W,D,L,W,D,L,L,D,L,L,W,W,D,D,D,L"
2000-2001,3,Liverpool,38,20,9,9,71,39,32,69,19,19,40,14,31,25,13,4,2,7,5,7,"W,D,W,W,W,W,W,L,D,W,D,L,D,W,D,D,W,W,L,W,W,L,W,L,L,W,L,W,W,W,L,D,D,W,W,D,L,W","D,W,W,L,W,D,W,D,W,W,L,W,W,W,W,D,W,W,W","W,W,W,W,D,L,D,D,W,L,W,L,L,L,W,L,D,D,L"
2000-2001,4,Leeds,38,20,8,10,64,43,21,68,19,19,36,21,28,22,11,3,5,9,5,5,"W,W,L,W,W,W,W,W,W,D,W,D,D,W,W,W,L,W,D,L,L,W,L,L,W,L,D,W,D,L,W,W,D,L,D,L,W,W","W,W,W,W,D,D,W,L,D,L,W,W,L,W,W,W,L,L,W","L,W,W,W,W,W,D,W,W,W,L,L,L,D,D,L,D,D,W"
2000-2001,5,Ipswich,38,20,6,12,57,42,15,66,19,19,31,15,26,27,11,5,3,9,1,9,"D,W,L,W,W,W,D,W,W,L,W,W,L,L,L,W,L,W,D,L,W,W,L,W,W,W,L,W,W,D,W,D,W,L,L,W,D,L","W,W,W,D,W,W,L,W,W,D,W,L,W,W,D,D,L,W,D","D,L,W,W,W,L,L,L,L,L,W,W,W,L,W,W,W,L,L"
2000-2001,6,Chelsea,38,17,10,11,68,45,23,61,19,19,44,20,24,25,13,3,3,4,7,8,"W,D,W,L,L,W,W,W,W,L,W,D,D,L,W,W,D,W,D,W,L,W,W,L,L,D,L,W,W,L,W,D,L,D,D,D,L,W","W,L,W,W,L,D,W,W,W,W,W,W,D,W,W,W,L,D,W","W,D,L,W,W,W,D,L,D,D,L,L,L,L,L,D,D,D,L"
2000-2001,7,Sunderland,38,15,12,11,46,41,5,57,19,19,24,16,22,25,9,7,3,6,5,8,"D,W,W,D,L,L,D,L,W,D,L,D,L,L,D,W,W,D,W,W,L,W,W,W,W,D,L,W,D,W,D,D,W,L,D,L,L,W","W,D,L,L,D,D,L,D,W,W,W,W,D,W,W,D,W,D,W","D,W,L,D,W,L,L,W,D,W,L,W,W,L,D,D,L,L,L"
2000-2001,8,Aston Villa,38,13,15,10,46,43,3,54,19,19,27,20,19,23,8,8,3,5,7,7,"L,W,D,D,D,W,D,W,W,D,W,D,L,D,W,L,L,L,L,L,W,D,D,D,D,L,W,W,W,D,L,W,D,W,W,L,D,D","W,D,W,D,W,D,W,D,L,L,L,D,D,W,W,D,W,W,D","L,D,D,W,D,L,W,L,L,W,D,D,L,W,L,D,W,L,D"
2000-2001,9,Charlton,38,14,10,14,50,57,-7,52,19,19,31,19,19,38,11,5,3,3,5,11,"L,L,W,W,D,L,L,W,L,D,D,W,D,W,D,D,W,W,L,W,L,D,L,L,W,L,W,L,W,L,D,W,W,D,D,L,L,W","L,W,D,W,L,W,W,D,W,W,D,L,W,W,W,D,W,D,W","L,W,L,L,D,D,D,D,W,L,L,L,L,L,L,W,D,L,L"
2000-2001,10,Southampton,38,14,10,14,40,48,-8,52,19,19,27,22,13,26,11,2,6,3,8,8,"W,W,L,D,L,D,L,L,L,W,W,W,W,W,D,D,L,W,W,D,L,W,L,L,W,D,W,L,L,D,L,W,W,L,D,D,L,D","W,W,L,L,W,W,W,D,W,W,W,L,W,W,L,L,W,D,L","L,D,D,L,L,W,W,D,L,D,L,L,D,L,D,W,L,D,D"
2000-2001,11,Newcastle,38,14,9,15,44,50,-6,51,19,19,26,17,18,33,10,4,5,4,5,10,"W,D,L,D,W,D,W,L,D,L,D,L,L,L,W,W,L,D,W,L,W,L,D,W,L,D,W,L,L,W,W,L,L,D,W,W,W,L","W,D,D,W,W,L,L,W,D,W,W,W,L,W,L,L,D,W,W","L,D,L,D,D,L,L,W,L,L,L,D,D,L,W,W,L,W,L"
2000-2001,12,Spurs,38,13,10,15,47,54,-7,49,19,19,31,16,16,38,11,6,2,2,4,13,"W,L,D,L,L,W,W,L,W,L,L,W,D,D,D,D,W,L,L,D,D,D,L,W,W,L,W,L,W,L,L,D,L,W,W,L,D,W","W,D,L,W,W,L,D,D,W,D,D,W,W,W,W,D,W,W,W","L,L,W,L,L,W,D,D,L,L,D,L,L,L,L,L,L,L,D"
2000-2001,13,Leicester,38,14,6,18,39,51,-12,48,19,19,28,23,11,28,10,4,5,4,2,13,"L,W,L,L,L,L,L,L,L,L,W,W,L,W,L,D,L,L,L,W,W,L,W,L,W,D,W,W,L,L,D,D,W,W,W,D,W,D","W,L,L,L,W,W,W,D,L,W,W,W,D,W,L,D,W,W,D","L,L,L,L,L,L,L,L,L,L,L,L,W,W,L,D,W,D,W"
2000-2001,14,Middlesbrough,38,9,15,14,44,44,0,42,19,19,18,23,26,21,4,7,8,5,8,6,"W,D,L,W,L,W,D,L,W,D,L,D,D,D,D,W,D,D,W,D,W,L,L,D,L,L,L,L,L,L,W,D,D,L,D,L,D,W","W,L,L,D,D,L,D,W,D,W,W,D,L,L,L,D,L,L,D","D,W,W,L,W,D,D,D,D,D,L,L,L,L,L,W,D,D,W"
2000-2001,15,West Ham,38,10,12,16,45,50,-5,42,19,19,24,20,21,30,6,6,7,4,6,9,"L,W,L,L,L,W,D,L,L,L,L,W,D,L,D,D,L,L,W,L,D,D,W,W,W,W,D,W,L,D,D,W,D,L,D,D,L,L","W,L,W,L,L,L,D,D,L,W,D,W,W,W,L,D,D,D,L","L,L,L,D,L,W,L,D,L,L,D,W,W,D,D,W,L,D,L"
2000-2001,16,Everton,38,11,9,18,45,59,-14,42,19,19,29,27,16,32,6,8,5,5,1,13,"D,L,W,L,L,L,W,W,L,D,L,W,D,L,D,W,D,L,L,L,D,L,L,W,W,W,L,L,W,D,L,D,L,W,L,D,W,L","D,W,L,W,D,W,D,D,D,L,D,W,W,L,D,L,L,D,W","L,L,L,W,L,L,L,W,L,L,L,L,W,L,W,D,W,L,L"
2000-2001,17,Derby,38,10,12,16,37,59,-22,42,19,19,23,24,14,35,8,7,4,2,5,12,"D,W,L,L,W,L,L,L,D,W,W,D,W,L,D,L,W,L,D,W,W,L,W,L,W,D,D,L,L,L,L,D,L,D,D,D,L,D","D,L,W,L,W,W,W,D,W,W,W,L,W,D,L,D,D,D,D","W,L,L,L,D,D,L,L,L,D,L,W,D,L,L,L,L,D,L"
2000-2001,18,Man City,38,8,10,20,41,65,-24,34,19,19,20,31,21,34,4,3,12,4,7,8,"L,L,W,D,W,L,L,L,D,L,W,L,D,D,D,L,D,L,D,L,D,W,L,L,L,L,L,L,W,W,L,D,D,L,W,L,W,L","L,W,L,L,L,L,D,L,L,D,W,L,L,L,W,L,D,L,W","L,D,W,L,D,W,D,D,D,L,D,L,L,L,W,D,L,W,L"
2000-2001,19,Coventry,38,8,10,20,36,63,-27,34,19,19,14,23,22,40,4,7,8,4,3,12,"D,L,L,L,W,L,W,W,L,D,D,D,L,L,L,L,D,D,W,D,L,W,L,D,L,L,L,L,L,W,D,L,L,D,L,W,W,L","D,L,W,W,D,D,L,L,D,D,W,D,L,L,W,L,D,L,L","L,L,L,W,L,D,L,L,D,W,L,L,L,L,L,D,L,W,W"
2000-2001,20,Bradford,38,5,11,22,30,70,-40,26,19,19,20,29,10,41,4,7,8,1,4,14,"D,L,D,L,L,W,W,L,D,D,L,L,L,L,L,D,L,W,L,L,L,D,W,D,L,L,L,D,L,L,D,L,L,D,L,D,W,L","D,L,W,W,D,D,L,L,L,L,D,W,L,D,L,L,D,D,W","D,L,L,L,L,L,L,D,W,L,L,D,L,L,L,D,L,L,L"
2001-2002,1,Arsenal,38,26,9,3,79,36,43,87,19,19,42,25,37,11,12,4,3,14,5,0,"W,W,W,W,W,W,W,W,W,W,W,W,W,D,W,W,D,D,W,W,W,L,D,W,W,W,D,L,D,D,W,W,D,W,D,W,L,W","W,W,W,W,W,W,W,D,D,W,W,L,W,W,L,D,D,W,L","W,W,W,W,W,W,W,W,D,W,D,W,D,D,W,W,W,D,W"
2001-2002,2,Liverpool,38,24,8,6,67,30,37,80,19,19,33,14,34,16,12,5,2,12,3,4,"W,W,L,W,W,W,W,W,W,W,D,W,W,W,W,D,D,L,D,D,W,L,L,D,W,W,W,D,W,W,W,D,W,W,W,L,L,W","W,W,W,W,W,W,D,W,D,D,L,D,W,W,W,D,W,L,W","L,W,W,W,W,W,W,D,L,D,W,L,W,D,W,W,W,W,L"
2001-2002,3,Man Utd,38,24,5,9,87,45,42,77,19,19,40,17,47,28,11,2,6,13,3,3,"D,L,W,W,W,W,L,W,W,D,W,W,W,W,L,W,W,W,W,W,W,W,W,L,L,L,W,L,D,L,W,W,W,L,W,D,D,W","D,L,L,W,W,W,L,W,W,W,W,L,L,W,D,L,W,W,W","W,W,W,W,W,D,W,W,W,W,W,W,L,L,W,W,L,D,D"
2001-2002,4,Newcastle,38,21,8,9,74,52,22,71,19,19,40,23,34,29,12,3,4,9,5,5,"L,W,D,W,W,D,D,W,D,L,L,W,W,W,W,D,W,L,L,W,W,W,W,W,D,W,L,W,W,L,W,L,W,L,W,W,D,D","W,W,D,W,D,L,W,W,W,L,W,W,W,W,L,L,W,W,D","L,D,W,D,L,W,W,D,L,W,W,W,D,L,W,W,L,W,D"
2001-2002,5,Leeds,38,18,12,8,53,37,16,66,19,19,31,21,22,16,9,6,4,9,6,4,"W,W,L,W,W,L,L,W,W,W,D,D,D,L,L,D,L,W,W,W,L,W,D,W,D,D,L,W,D,D,D,W,W,W,D,D,W,W","W,L,W,L,W,W,D,L,D,W,L,W,D,D,W,D,W,D,W","W,W,L,W,D,D,L,L,W,W,W,D,L,D,D,W,W,D,W"
2001-2002,6,Chelsea,38,17,13,8,66,38,28,64,19,19,43,21,23,17,11,4,4,6,9,4,"L,W,L,D,W,D,W,L,W,W,W,L,D,W,W,W,D,L,W,L,W,W,D,L,W,D,D,W,D,L,D,W,D,D,W,D,W,D","L,L,W,W,W,W,W,W,W,L,W,W,L,D,W,W,D,D,D","W,D,D,L,L,D,W,D,W,L,D,W,D,D,L,D,D,W,W"
2001-2002,7,West Ham,38,15,8,15,48,57,-9,53,19,19,32,14,16,43,12,4,3,3,4,12,"W,L,L,W,D,W,W,W,L,W,L,W,L,W,L,L,W,L,D,W,D,D,W,D,L,L,D,L,W,W,W,L,L,W,L,D,D,L","W,W,W,W,L,W,W,W,W,D,W,D,D,L,L,W,W,W,D","L,L,D,W,L,L,L,L,L,D,W,L,D,W,L,L,L,D,L"
